test_type,dv,group_column,group_a,group_b,n_a,n_b,mean_a,mean_b,mean_difference_a_minus_b,ci95_lower,ci95_upper,t_statistic,df,p_value,effect_size_name,effect_size,inclusion_filter,comparison
welch_t_test_independent,distal_blame_ch,vignette_condition_position_1,CH,CC,93,95,6.817204301075269,7.168421052631579,-0.3512167515563096,-0.819975244751498,0.11754174163887876,-1.4783451221820394,181.7393687284641,0.14104645752392964,hedges_g,-0.2143804975201014,included_only,distal_blame: CH rating when CH-first vs when CC-first
welch_t_test_independent,distal_blame_cc,vignette_condition_position_1,CH,CC,93,95,6.096774193548387,5.7894736842105265,0.30730050933786046,-0.21535269784080124,0.8299537165165222,1.1599332849331603,185.98258957484893,0.24756286204614109,hedges_g,0.16846407267355173,included_only,distal_blame: CC rating when CH-first vs when CC-first
welch_t_test_independent,distal_wrong_ch,vignette_condition_position_1,CH,CC,93,95,6.795698924731183,7.347368421052631,-0.5516694963214483,-1.0826842240592573,-0.02065476858363935,-2.0495945553289543,185.1880059760672,0.041813909130372376,hedges_g,-0.2979166905935695,included_only,distal_wrong: CH rating when CH-first vs when CC-first
welch_t_test_independent,distal_wrong_cc,vignette_condition_position_1,CH,CC,93,95,6.21505376344086,6.368421052631579,-0.15336728919071874,-0.7317140537282346,0.42497947534679714,-0.5231882363648027,184.0293050556394,0.6014726476452883,hedges_g,-0.07607784261695769,included_only,distal_wrong: CC rating when CH-first vs when CC-first
welch_t_test_independent,distal_punish_ch,vignette_condition_position_1,CH,CC,93,95,8.741935483870968,9.336842105263157,-0.5949066213921892,-3.79346784196537,2.6036545991809916,-0.3669251717112813,185.98125524147179,0.7140919746062486,hedges_g,-0.05329053758904055,included_only,distal_punish: CH rating when CH-first vs when CC-first
welch_t_test_independent,distal_punish_cc,vignette_condition_position_1,CH,CC,93,95,6.688172043010753,6.315789473684211,0.37238256932654235,-2.5025563895137872,3.247321528166872,0.25558384687230146,180.3192683750659,0.7985634987715369,hedges_g,0.03705356891607588,included_only,distal_punish: CC rating when CH-first vs when CC-first
welch_t_test_independent,distal_blame_ch,vignette_condition_position_1,CH,CC,147,141,6.666666666666667,7.085106382978723,-0.4184397163120561,-0.7996114031664003,-0.03726802945771196,-2.1608485042216428,282.5928986272343,0.03154720545579703,hedges_g,-0.2544070840828775,all_finishers,distal_blame: CH rating when CH-first vs when CC-first
welch_t_test_independent,distal_blame_cc,vignette_condition_position_1,CH,CC,147,141,5.98639455782313,5.652482269503546,0.33391228831958397,-0.07337120941060504,0.741195786049773,1.6137136624141126,285.83217364327106,0.10769295502434235,hedges_g,0.18965025494279475,all_finishers,distal_blame: CC rating when CH-first vs when CC-first
welch_t_test_independent,distal_wrong_ch,vignette_condition_position_1,CH,CC,147,141,6.714285714285714,7.092198581560283,-0.37791286727456885,-0.8128977258741492,0.05707199132501156,-1.7100502530386938,285.7631541997797,0.0883420100020778,hedges_g,-0.20099127018442275,all_finishers,distal_wrong: CH rating when CH-first vs when CC-first
welch_t_test_independent,distal_wrong_cc,vignette_condition_position_1,CH,CC,147,141,6.1768707482993195,6.23404255319149,-0.05717180489217011,-0.5140786415921008,0.39973503180776065,-0.24628853061356645,285.9787819011699,0.8056355707752456,hedges_g,-0.02893539825614954,all_finishers,distal_wrong: CC rating when CH-first vs when CC-first
welch_t_test_independent,distal_punish_ch,vignette_condition_position_1,CH,CC,147,141,9.428571428571429,9.546099290780141,-0.11752786220871236,-2.6054761718018113,2.3704204473843866,-0.09298075248280956,285.4171296517475,0.9259840844751378,hedges_g,-0.010932268595457142,all_finishers,distal_punish: CH rating when CH-first vs when CC-first
welch_t_test_independent,distal_punish_cc,vignette_condition_position_1,CH,CC,147,141,7.068027210884353,6.822695035460993,0.2453321754233606,-1.9912319145418125,2.4818962653885337,0.21592745017764794,279.20878997869687,0.8292019603188354,hedges_g,0.02544681896717092,all_finishers,distal_punish: CC rating when CH-first vs when CC-first
