inclusion_filter,analysis_scope,var_a,var_b,n,correlation_type,r,p_value
included_only,between_subjects_first_vignette,blame,wrong,282,pearson_r,0.5854556029208146,2.44958959379676e-27
included_only,between_subjects_first_vignette,blame,punish,282,pearson_r,0.3616710698995959,3.8575190253813053e-10
included_only,between_subjects_first_vignette,punish,wrong,282,pearson_r,0.24620587494464383,2.9065403507332345e-05
included_only,within_subjects_participant_means,blame_mean,wrong_mean,282,pearson_r,0.6277307040607384,2.626825121284527e-32
included_only,within_subjects_participant_means,blame_mean,punish_mean,282,pearson_r,0.23357375799966235,7.499389250242241e-05
included_only,within_subjects_participant_means,punish_mean,wrong_mean,282,pearson_r,0.20839067685283477,0.00042720184849227134
all_finishers,between_subjects_first_vignette,blame,wrong,432,pearson_r,0.5969256167912717,4.690952024459585e-43
all_finishers,between_subjects_first_vignette,blame,punish,432,pearson_r,0.2720920000097161,9.044608826734372e-09
all_finishers,between_subjects_first_vignette,punish,wrong,432,pearson_r,0.16562887044143104,0.0005473215593563189
all_finishers,within_subjects_participant_means,blame_mean,wrong_mean,432,pearson_r,0.6857634686038149,2.624917070991856e-61
all_finishers,within_subjects_participant_means,blame_mean,punish_mean,432,pearson_r,0.1540685568590181,0.001317336347005091
all_finishers,within_subjects_participant_means,punish_mean,wrong_mean,432,pearson_r,0.12482099067229513,0.009404121970747975
