Row / Column,"CC Distal
μ=6.06","CH Distal
μ=7.06","DIV Distal
μ=6.66","CC Proximate
μ=7.62","CH Proximate
μ=5.15"
"CC Distal
μ=6.06",—,"Δ=+1.00
dz=+0.55
p=3.58e-18","Δ=+0.60
dz=+0.34
p=2.19e-08","Δ=+1.56
dz=+0.69
p=8.34e-26","Δ=-0.91
dz=-0.28
p=5.85e-06"
"CH Distal
μ=7.06",,—,"Δ=-0.40
dz=-0.22
p=3.28e-04","Δ=+0.56
dz=+0.28
p=4.54e-06","Δ=-1.91
dz=-0.56
p=2.51e-18"
"DIV Distal
μ=6.66",,,—,"Δ=+0.96
dz=+0.46
p=1.21e-13","Δ=-1.51
dz=-0.48
p=2.10e-14"
"CC Proximate
μ=7.62",,,,—,"Δ=-2.47
dz=-0.84
p=2.39e-34"
"CH Proximate
μ=5.15",,,,,—
